Titlu,nume,judet,oras,adresa,longitudine,latitudine
"MM-SPIT.DE PNEUMOFTIZIOLOGIE ,,DR NICOLAE RUSDEA""",Spitalul de Pneumoftiziologie Baia Mare,Judetul Maramures,Municipiu Baia Mare,"Strada Doctor Victor Babes 34, Baia Mare",23.5524524,47.6627692
MS-CENTRUL MEDICAL UNIREA SRL BUCURESTI - PUNCT DE LUCRU TG. MURES,Campus Medical Regina Maria,Judetul Mures,Municipiu Targu Mures,"Strada Gheorghe Marinescu 49, 540136 Targu Mures",24.5784059,46.5571898
MS-CENTRUL MEDICONSULT SRL,Mediconsult,Judetul Mures,Municipiu Targu Mures,"Strada Muncii 9, Targu Mures",24.5855818,46.535408
MS-DENTOSIM-QUEEN SRL,Dentosim,Judetul Mures,Municipiu Targu Mures,"Apartament 2, Strada 22 Decembrie 1989 6, 540113 Targu Mures",24.5701044,46.5545122
MS-INSTITUTUL DE URGENTA PENTRU BOLI CARDIOVASCULARE SI TRANSPLANT TG.MURES,Institutul de Urgenta pentru Boli Cardiovasculare si Transplant Targu Mures cardiologie infantila,Judetul Mures,Municipiu Targu Mures,Targu Mures,24.5825146,46.5592434
MS-REHABCARE SRL,Clinica de Medicina Hiperbara,Judetul Mures,Comuna Livezeni,"Str. Lunga 66, 547365 Livezeni",24.6230781,46.5451381
MS-SAN-DORA MED SRL,Dora Medicals,Judetul Mures,Municipiu Targu Mures,"Piata Marasesti 21, 540327 Targu Mures",24.5646266,46.5513346
MS-SPITALUL CLINIC JUDETEAN DE URGENTA TARGU MURES,Spitalul Clinic Judetean de Urgenta Targu Mures,Judetul Mures,Municipiu Targu Mures,"Strada Gheorghe Marinescu 50, 540136 Targu Mures",24.5825579,46.5593986
MS-SPITALUL CLINIC JUDETEAN MURES,Spitalul Clinic Judetean de Urgenta Targu Mures,Judetul Mures,Municipiu Targu Mures,"Strada Gheorghe Marinescu 50, 540136 Targu Mures",24.5825579,46.5593986
"MS-SPITALUL MUNICIPAL ""DR.EUGEN NICOARA"" REGHIN",Spitalul Municipal Doctor Eugen Nicoara,Judetul Mures,Municipiu Reghin,"Strada Spitalului 19-20, 545300 Reghin",24.6951841,46.7820649
"MS-SPITALUL MUNICIPAL "" DR.GHEORGHE MARINESCU"" TARNAVENI","Spitalul Municipal ""Dr. Gheorghe Marinescu""",Judetul Mures,Municipiu Tarnaveni,"Strada Victor Babes 2, 545600 Tarnaveni",24.2936849,46.3286382
MS-SPITALUL MUNICIPAL SIGHISOARA,Spitalul Municipal Sighisoara,Judetul Mures,Municipiu Sighisoara,"Strada Zaharia Boiu 40, 545400 Sighisoara",24.7838743,46.2206339
"MS-SPITALUL ORASENESC ""DR.VALER RUSSU""LUDUS",Spitalul Orasenesc Dr. Valer Russu Ludus Sediul Administrativ,Judetul Mures,Oras Ludus,"Bulevardul 1 Decembrie 1918 20, 545200 Ludus",24.09559,46.47532
MS-SPITALUL ORASENESC SG. DE PADURE,Spital Orasenesc Sangeorgiu de Padure,Judetul Mures,Oras Sangeorgiu De Padure,"Piata Rhedey Klaudia, 547535 Sangeorgiu de Padure",24.8383324,46.4323486
"NT-SPITAL ORASENESC ""SFINTUL DIMITRIE""TG.NEAMT",Spitalul Orasenesc Targu Neamt,Judetul Neamt,Oras Targu Neamt,"Bulevardul Stefan cel Mare 35, 615200 Targu Neamt",26.3597918,47.2070999
NT-SPITALUL DE PNEUMOFTIZIOLOGIE BISERICANI,Spitalul de Pneumoftiziologie Bisericani,Judetul Neamt,Comuna Alexandru Cel Bun,"Com. Alexandru cel Bun sat Bisericani, 617507 Neamt",26.2383599,46.9585277
"NT-SPITALUL DE PSIHIATRIE ""SF. NICOLAE"" ROMAN",Spitalul Sfantul Nicolae,Judetul Neamt,Municipiu Roman,"Strada Ion Nanu 4, 611142 Roman",26.9409423,46.9367713
NT-SPITALUL JUDETEAN DE URGENTA PIATRA NEAMT,Spitalul Clinic Judetean de Urgenta Piatra Neamt,Judetul Neamt,Municipiu Piatra-Neamt,"Bulevardul Traian 1, Piatra Neamt",26.3735024,46.9285708
NT-SPITALUL MUNICIPAL ROMAN,Spitalul Municipal de Urgenta Roman,Judetul Neamt,Municipiu Roman,"Strada Tineretului 28-30, Roman",26.9309455,46.928022
"NT-SPITALUL ORASANESC ""SF. IERARH NICOLAE"" BICAZ",Spitalul Orasenesc Sfantul Ierarh Nicolae,Judetul Neamt,Oras Bicaz,"Strada Barajului 31A, 615100 Bicaz",26.0859354,46.9200066
OT-SC LISIMED SRL,LISIMED S.R.L.,Judetul Olt,Oras Draganesti-Olt,"Str. Teiului, 4, Slatina, Olt, 230107",24.588089,44.1723549
OT-SPITALUL JUDETEAN SLATINA,Spitalul Judetean de Urgenta Slatina,Judetul Olt,Municipiu Slatina,"Strada Crisan 9, 230008 Slatina",24.3670278,44.4321914
OT-SPITALUL MUNICIPAL CARACAL,Spitalul Municipal Caracal,Judetul Olt,Municipiu Caracal,235200 Caracal,24.3550871,44.1165769
OT-SPITALUL ORASENESC BALS,Spitalul Orasenesc Bals,Judetul Olt,Oras Bals,"Strada Nicolae Balcescu 115, 235100 Bals",24.1156639,44.3471044
OT-SPITALUL ORASENESC CORABIA,Spitalul Orasenesc,Judetul Olt,Oras Corabia,"Strada Carpati 116, 235300 Corabia",24.5108117,43.7733981
PH-GRAL MEDICAL SRL,Clinica MC Gral Ploiesti,Judetul Prahova,Municipiu Ploiesti,"Strada Cuza Voda 6, 100010 Ploiesti",26.019309,44.941234
PH-S.C. CENTRUL MEDICAL SANCONFIND S.R.L.,Centru Medical SanConfind,Judetul Prahova,Comuna Poiana Campina,"Strada Dimitrie Gusti nr. 17, 107425 Poiana Campina",25.7105907,45.1287059
PH-S.C. MEDICAL CENTER GRAL S.R.L.,Clinica MC Gral Ploiesti,Judetul Prahova,Municipiu Ploiesti,"Strada Cuza Voda 6, 100010 Ploiesti",26.019309,44.941234
PH-SPITALUL DE BOLI PULMONARE BREAZA,Spitalul de Boli Pulmonare,Judetul Prahova,Oras Breaza,"Strada Erou Miron Caproiu 56, 105400 Breaza de Jos",25.6766248,45.1791735
PH-SPITALUL DE ORTOPEDIE SI TRAUMATOLOGIE AZUGA,Spitalul de Ortopedie si Traumatologie,Judetul Prahova,Oras Azuga,"Strada Victoriei 2, 105100 Azuga",25.5544913,45.4265835
PH-Spitalul de Pneumoftiziologie Floresti,Spitalul de Pneumoftiziologie Floresti,Judetul Prahova,Comuna Floresti,"Strada Grigore Cantacuzino nr. 44, 107255 Floresti",25.792333,45.0301616
PH-Spitalul de Psihiatrie Voila,Spitalul de Psihiatrie Voila,Judetul Prahova,Municipiu Campina,"Strada Voila 114, 105600 Campina",25.749881,45.1589477
PH-SPITALUL MUNICIPAL CAMPINA,Spitalul Municipal Campina (SMC),Judetul Prahova,Municipiu Campina,"Bulevardul Carol I 117, 105600 Campina",25.732392,45.1281164
PH-SPITALUL MUNICIPAL PLOIESTI,Spitalul Municipal Ploiesti,Judetul Prahova,Municipiu Ploiesti,"Spitalul Municipal Ploiesti, Strada Rudului 61, Ploiesti",26.0201859,44.9312971
PH-SPITALUL ORASENESC BAICOI,Spitalul Orasenesc Baicoi,Judetul Prahova,Oras Baicoi,"Spital Baicoi, Strada Spitalului 7, 105200 Baicoi",25.8379973,45.0296755
PH-SPITALUL ORASENESC SFANTA FILOFTEIA MIZIL,Spitalul Sfanta Filofteia,Judetul Prahova,Oras Mizil,"Strada Spitalului 21, 105800 Mizil",26.4399518,44.9991175
PH-SPITALUL ORASENESC SINAIA,Spitalul Orasenesc Sinaia,Judetul Prahova,Oras Sinaia,"Strada Spitalului 2, 106100 Sinaia",25.5549925,45.333551
PH-SPITALUL ORASENESC URLATI,Spitalul Orasenesc Urlati,Judetul Prahova,Oras Urlati,"Strada Independentei 52, 106300 Urlati",26.2404781,44.9911674
PH-SPITALUL ORASENESC VALENII DE MUNTE,Spitalul Orasenesc Valenii de Munte,Judetul Prahova,Oras Valenii De Munte,"Bulevardul Nicolae Iorga 10, 106400 Valenii de Munte",26.0350898,45.1756086
SB-MISAN MED SRL,Misan Med,Judetul Sibiu,Municipiu Sibiu,"Str. Hipodromului 3B, 550360 Sibiu",24.154708,45.784382
SB-OPHTA-CONSULT SRL,Clinica iMed,Judetul Sibiu,Municipiu Sibiu,"Strada Nicolae Iorga 50A, 557260 Sibiu",24.1574354,45.7815976
SB-SPITALUL CLINIC DE PEDIATRIE SIBIU,Spitalul Clinic de Pediatrie Sibiu,Judetul Sibiu,Municipiu Sibiu,"Strada George Baritiu 3, 550178 Sibiu",24.147781,45.792758
SB-SPITALUL CLINIC JUDETEAN  DE URGENTA SIBIU,Spitalul Clinic Judetean de Urgenta Sibiu,Judetul Sibiu,Municipiu Sibiu,"Bulevardul Corneliu Coposu 2-4, 550245 Sibiu",24.1557007,45.7944924
SB-SPITALUL DE PNEUMOFTIZIOLOGIE SIBIU,Spitalul de Pneumoftiziologie,Judetul Sibiu,Municipiu Sibiu,"Aleea Filozofilor 3-5, 550196 Sibiu",24.142917,45.7948392
SB-SPITALUL DE PSIHIATRIE DR. GH. PREDA SIBIU,"Spitalul de Psihiatrie ""Doctor Gheorghe Preda""",Judetul Sibiu,Municipiu Sibiu,"Strada Doctor Dumitru Bagdazar 12, 550082 Sibiu",24.1545109,45.808157
SB-SPITALUL GENERAL CF SIBIU,Spitalul Clinic CFR Sibiu,Judetul Sibiu,Municipiu Sibiu,"Strada Constantin Noica 20, 550240 Sibiu",24.15606,45.7921132
SB-SPITALUL MUNICIPAL MEDIAS,Spitalul Municipal,Judetul Sibiu,Municipiu Medias,"Strada Closca 2, Medias",24.3568526,46.1635122
SB-SPITALUL ORASENESC AGNITA,Spitalul Orasenesc Agnita,Judetul Sibiu,Oras Agnita,"Strada Spitalului 10, 555100 Agnita",24.6227306,45.9790606
SB-SPITALUL ORASENESC CISNADIE,Spitalul Orasenesc,Judetul Sibiu,Oras Cisnadie,"Strada Bailor 27, 555300 Cisnadie",24.1449928,45.7082658
SJ-SPITAL JUD de URGENTA ZALAU,Spitalul Judetean de Urgenta Zalau,Judetul Salaj,Municipiu Zalau,"Str. Simion Barnutiu 67, 450129 Zalau",23.0515351,47.1928745
SJ-SPITALUL DE BOLI CRONICE CRASNA,Spitalul de Boli Cronice Crasna,Judetul Salaj,Comuna Crasna,"Strada Alszeg 363, 457085 Crasna",22.8806397,47.161781
SJ-SPITALUL ORASENESC JIBOU,Spitalul Orasenesc,Judetul Salaj,Oras Jibou,"Strada Libertatii 28, 455200 Jibou",23.2521709,47.2589056
SM-SPITALUL DE PNEUMOFTIZIOLOGIE SATU MARE,Spitalul de Pneumoftiziologie Satu Mare,Judetul Satu Mare,Municipiu Satu Mare,"Strada Ialomitei 9, 447230 Satu Mare",22.8858224,47.7916492
SM-SPITALUL JUDETEAN SATU MARE,Spitalul Judetean de Urgenta,Judetul Satu Mare,Municipiu Satu Mare,"Strada Ravensburg 3, Satu Mare",22.8625275,47.7825088
SM-SPITALUL MUNICIPAL CAREI,Spitalul Municipal Carei,Judetul Satu Mare,Municipiu Carei,"Bulevardul 25 Octombrie 25, 445100 Carei",22.4650697,47.6813254
SM-SPITALUL ORASENESC NEGRESTI OAS,Spitalul Orasenesc,Judetul Satu Mare,Oras Negresti-Oas,"Strada Victoriei 90, 445200 Negresti-Oas",23.4279126,47.8718472
SV-PROVITA PAIN CLINIC S.A.,Clinica NORD Suceava,Judetul Suceava,Municipiu Suceava,"Strada Putna, 727454 Suceava",26.2651503,47.6728364
SV-SPITALUL DE BOLI CRONICE SIRET,Spitalul Psihiatrie Cronice Siret,Judetul Suceava,Oras Siret,"Strada Carpati 3B, 725500 Siret",26.0581065,47.9498916
SV-SPITALUL DE PSIHIATRIE CAMPULUNG MOLDOVENESC,Spitalul de Psihiatrie Campulung Moldovenesc,Judetul Suceava,Municipiu Campulung Moldovenesc,"Strada Trandafirilor 2, 725100 Campulung Moldovenesc",25.5599867,47.5276203
SV-SPITALUL JUDETEAN DE URGENTA SF.IOAN CEL NOU SUCEAVA,"Spitalul Clinic Judetean de Urgenta ""Sfantul Ioan cel Nou""",Judetul Suceava,Municipiu Suceava,"Bulevardul 1 Mai 18, 720224 Suceava",26.2409217,47.6385814
SV-SPITALUL MUNICIPAL CAMPULUNG MOLDOVENESC,Spitalul Municipal,Judetul Suceava,Municipiu Campulung Moldovenesc,"Strada Sirenei 25, 725100 Campulung Moldovenesc",25.5437493,47.5318036
SV-SPITALUL MUNICIPAL FALTICENI,Spitalul Municipal,Judetul Suceava,Municipiu Falticeni,"Strada Cuza Voda 1, et 1, 725200 Falticeni",26.2946679,47.4618072
SV-SPITALUL MUNICIPAL RADAUTI,Spitalul Municipal Radauti,Judetul Suceava,Municipiu Radauti,"Calea Bucovinei 34A, 725400 Radauti",25.9264523,47.8375923
SV-SPITALUL MUNICIPAL VATRA DORNEI,Spitalul Municipal Vatra Dornei,Judetul Suceava,Municipiu Vatra Dornei,"Strada Mihai Eminescu 14, 725700 Vatra Dornei",25.3582905,47.3480677
SV-SPITALUL ORASENESC GURA HUMORULUI,Spitalul Orasenesc,Judetul Suceava,Oras Gura Humorului,"Piata Republicii 1, 725300 Gura Humorului",25.8896217,47.554906
SV-Sp. Psihiatrie cronici Siret,Spitalul de Psihiatrie,Judetul Suceava,Oras Siret,"Strada 9 Mai 5, 725500 Siret",26.0683023,47.951102
TL-CENTRUL MEDICAL UNIREA SRL-TULCEA,REGINA MARIA Policlinica Centrala,Judetul Tulcea,Municipiu Tulcea,"Strada Progresului 24, 820009 Tulcea",28.8016411,45.1770211
TL-SPITALUL JUDETEAN DE URGENTA TULCEA,Spitalul Judetean Tulcea,Judetul Tulcea,Municipiu Tulcea,"Strada 1848, Tulcea",28.7849683,45.1739082
TL-SPITALUL ORASENESC MACIN,Spitalul Orasenesc,Judetul Tulcea,Oras Macin,"Strada Mircea Voda 34, 825300 Macin",28.1352996,45.2454831
"TM-Centrul Medical de Evaluare, Terapie Educatie Medicala Specifica si Recuperare pentru Copii si Tiner","Centrul Medical Clinic de Evaluare si Recuperare pentru Copii si Adolescenti ""Cristian Serban""",Judetul Timis,Oras Buzias,"Strada Avram Iancu nr.18, 305100 Buzias",21.6100819,45.6498234
TM-INSTITUTUL DE BOLI CARDIOVASCULARE TIMISOARA,Institutul de Boli Cardiovasculare Timisoara,Judetul Timis,Municipiu Timisoara,"Strada Gheorghe Adam Numarul 13A, 300310 Timisoara",21.2592675,45.7692665
TM-KARDINAL ONE MEDICAL SRL,Kardinal One Medical,Judetul Timis,Oras Ciacova,"Piata Cetatii 62, 307110 Ciacova",21.1247468,45.5148196
TM-MEDICI'S S.A.,Spitalul MedLife Medici's,Judetul Timis,Municipiu Timisoara,"Strada Ciprian Porumbescu 9, 300236 Timisoara",21.2235666,45.7406274
TM-ROCORDIS SRL,SPITAL DE CARDIOLOGIE ROCORDIS,Judetul Timis,Municipiu Timisoara,"Strada George Ardelean 13, 300628 Timi?oara",21.1991962,45.7825946
TM-SC MATERNA CARE SRL,Reteaua de Sanatate REGINA MARIA - Spitalul Regina Maria Timisoara (Spital Premiere),Judetul Timis,Municipiu Timisoara,"Calea Aradului 113, 300643 Timisoara",21.2196558,45.7794375
"TM-SPITAL CLINIC DE URGENTA PENTRU COPII ""LOUIS TURCANU ""","Spitalul Clinic de Urgenta pentru copii din Timisoara ""Louis Turcanu""",Judetul Timis,Municipiu Timisoara,"Strada Doctor Iosif Nemoianu 2, 300011 Timisoara",21.2219023,45.7535596
TM-SPITAL DR. KARL DIEL JIMBOLIA,"Spitalul orasenesc ""Dr. Karl Diel"" Jimbolia",Judetul Timis,Oras Jimbolia,"Strada Contele Csekonics, 305400 Jimbolia",20.7156724,45.7823563
TM-SPITALUL CLINIC CF TIMISOARA,Spitalul Clinic CFR Timisoara,Judetul Timis,Municipiu Timisoara,"Spitalul CFR, Splaiul Tudor Vladimirescu 13-15, Timisoara",21.218527,45.7494761
TM-SPITALUL CLINIC DE BOLI INFECTIOASE SI PNEUMOFTIZIOLOGIE DR.V.BABES TIMISOARA,Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Dr. Victor Babes,Judetul Timis,Municipiu Timisoara,"Strada Gheorghe Adam 13, Timisoara",21.2597586,45.768714
"TM-SPITALUL CLINIC JUDETEAN de URGENTA ""Pius Brinzeu"" Timisoara","Spitalul Clinic Judetean de Urgenta ""Pius Brinzeu"" Timisoara",Judetul Timis,Municipiu Timisoara,"Bulevardul Liviu Rebreanu 156, 300723 Timisoara",21.2417975,45.7370071
TM-SPITALUL CLINIC MUNICIPAL DE URGENTA TIMISOARA,Spitalul Clinic Municipal de Urgenta Timisoara,Judetul Timis,Municipiu Timisoara,"Strada Gheorghe Dima nr.5, 300254 Timisoara",21.2267886,45.7594431
TM-SPITALUL DE PSIHIATRIE GATAIA,Spitalul de Psihiatrie Gataia,Judetul Timis,Oras Gataia,307185 Gataia,21.4613843,45.4379093
TM-SPITALUL MUNICIPAL  Dr. TEODOR  ANDREI LUGOJ,"Spitalul Municipal ""Dr. Teodor Andrei"" Lugoj",Judetul Timis,Municipiu Lugoj,"Strada Gheorghe Doja 36, 305500 Lugoj",21.8887066,45.6905419
TM-SPITALUL ORASENESC DETA,Spitalul Orasenesc Deta,Judetul Timis,Oras Deta,"Str. Mihai Viteazu 10, Deta",21.2227934,45.3902564
TM-SPITALUL ORASENESC FAGET,Spitalul Orasenesc Faget,Judetul Timis,Oras Faget,"Strada Spitalului 3, 305300 Faget",22.1707883,45.844881
TM-SPITALUL ORASENESC SANNICOLAU MARE AMBULATORIUL DE SPECIALITATE,Spitalul Orasenesc Sannicolau Mare,Judetul Timis,Oras Sannicolau Mare,"Strada Timisoara 10, 305600 Sannicolau Mare",20.6361536,46.0681538
TR-SC SPITAL ORASENESC SRL VIDELE,Spitalul Orasenesc Videle,Judetul Teleorman,Oras Videle,"Soseaua Pitesti, 145300 Videle",25.5164401,44.2785367
TR-SPITALUL DE PSIHIATRIE POROSCHIA,Spitalul de Psihiatrie Poroschia,Judetul Teleorman,Comuna Poroschia,147280 Poroschia,25.360062,43.9348531
TR-SPITALUL JUDETEAN ALEXANDRIA,Spitalul Judetean de Urgenta Alexandria,Judetul Teleorman,Municipiu Alexandria,"Strada Libertatii 1, 140009 Alexandria",25.3143922,43.9796366
TR-SPITALUL MUNICIPAL CARITAS ROSIORI DE VEDE,Spitalul Municipal Caritas,Judetul Teleorman,Municipiu Rosiori De Vede,"Strada Carpati 33, 145100 Rosiori de Vede",24.988285,44.1148708
TR-SPITALUL MUNICIPAL TURNU MAGURELE,Spitalul Municipal,Judetul Teleorman,Municipiu Turnu Magurele,"Strada Castanilor, 145200 Turnu Magurele",24.8686195,43.7438942
TR-SPITAL ZIMNICEA,Spitalul Orasenesc Zimnicea,Judetul Teleorman,Oras Zimnicea,"1-, Strada Trandafirilor 2, 145400 Zimnicea",25.3646425,43.6503079
TR-SPIT.JUD.P.N.F.ROSIORII DE VEDE,Spitalul de Pneumoftiziologie - Rosiorii de Vede,Judetul Teleorman,Municipiu Rosiori De Vede,"Strada Buzesti nr.16, 145100 Rosiori de Vede",24.9995217,44.1081345
VL-S.C. CLINICA RAPITEST SRL,RAPITEST CLINICA S.R.L.,Judetul Valcea,Municipiu Ramnicu Valcea,"Str. Olanescu Vasile 11, 240492 Ramnicu Valcea",24.3699305,45.1031169
VL-SPITALUL DE PNEUMOFTIZIOLOGIE C. ANASTASATU - MIHAESTI,Spitalul de Pneumoftiziologie Constantin Anastasatu,Judetul Valcea,Comuna Mihaesti,247375 Mihaesti,24.2378137,45.0228271
VL-SPITALUL DE PSIHIATRIE DRAGOESTI,Spitalul de Psihiatrie Dragoesti,Judetul Valcea,Comuna Dragoesti,"Strada Spitalului 1, Dragoesti",24.2821091,44.8318654
VL-SPITALUL JUDETEAN DE URGENTA  VALCEA,Spitalul Judetean de Urgenta Valcea,Judetul Valcea,Municipiu Ramnicu Valcea,"Calea lui Traian 201, 240284 Ramnicu Valcea",24.3629366,45.118355
"VL-SPITALUL MUNICIPAL ""COSTACHE NICOLESCU"" DRAGASANI",Spitalul Municipal Costache Nicolescu,Judetul Valcea,Municipiu Dragasani,"Strada Doctor Dumitru Bagdazar 2, 245700 Dragasani",24.2583811,44.6592899
VL-SPITALUL ORASENESC BREZOI,Spitalul Orasenesc Brezoi,Judetul Valcea,Oras Brezoi,"DN7A, 245500 Brezoi",24.2456514,45.3423503
VL-SPITALUL ORASENESC HOREZU,Spitalul Orasenesc Horezu,Judetul Valcea,Oras Horezu,"DC139 9, 245800 Horezu",23.9917508,45.1431988
VN-SPITALUL DE PSIHIATRIE CRONICI DUMBRAVENI,Spitalul de Psihiatrie Cronici Dumbraveni,Judetul Vrancea,Comuna Dumbraveni,627105 Dumbraveni,27.1065102,45.5499982
VN-SPITALUL JUDETEAN DE URGENTA SF PANTELIMON FOCSANI,Spitalul Judetean de Urgenta Sf. Pantelimon - Corp Central,Judetul Vrancea,Municipiu Focsani,"Str. Cuza Voda 50-52, Focsani",27.1930021,45.7043991
VN-SPITALUL MUNICIPAL ADJUD,Spitalul Municipal Adjud,Judetul Vrancea,Municipiu Adjud,"Str. Republicii 1H, 625100 Adjud",27.1875563,46.0920879
VN-SPITALUL N N SAVEANU VIDRA,Spitalul “NN Saveanu “ Vidra,Judetul Vrancea,Comuna Vidra,"DN2D, 627415 Vidra",26.9077648,45.9114103
VN-SPITALUL ORASENESC PANCIU,Spitalul Orasenesc Panciu,Judetul Vrancea,Oras Panciu,"Strada Nicolae Titulescu 99, 625400 Panciu",27.0864462,45.9097303
VS-SPITAL JUDETEAN DE URGENTA VASLUI,Spitalul Clinic Judetean de Urgenta Vaslui,Judetul Vaslui,Municipiu Vaslui,"Pavilionul I, Strada Stefan cel Mare 233, 730006 Vaslui",27.7358475,46.6554101
VS-SPITALUL MUNICIPAL DE ADULTI BARLAD,"Spitalul Municipal de Urgenta ""Elena Beldiman"" Barlad",Judetul Vaslui,Municipiu Barlad,"Bulevardul Republicii 300, 731054 Barlad",27.6713664,46.2351377
"VS-SPITALUL MUNICIPAL ""Dimitrie Castroian"" HUSI",Spitalul Municipal Dimitrie Castroian,Judetul Vaslui,Municipiu Husi,"Strada 1 Decembrie 1918 40, 735100 Husi",28.0505092,46.6751822
